COUNTRY,CONTINENT,YEAR,POP
Algeria,Africa,1952,9279525.0
Algeria,Africa,1957,10270856.0
Algeria,Africa,1962,11000948.0
Algeria,Africa,1967,12760499.0
Algeria,Africa,1972,14760787.0
Algeria,Africa,1977,17152804.0
Algeria,Africa,1982,20033753.0
Algeria,Africa,1987,23254956.0
Algeria,Africa,1992,26298373.0
Algeria,Africa,1997,29072015.0
Algeria,Africa,2002,31287142.0
Algeria,Africa,2007,33333216.0
Angola,Africa,1952,4232095.0
Angola,Africa,1957,4561361.0
Angola,Africa,1962,4826015.0
Angola,Africa,1967,5247469.0
Angola,Africa,1972,5894858.0
Angola,Africa,1977,6162675.0
Angola,Africa,1982,7016384.0
Angola,Africa,1987,7874230.0
Angola,Africa,1992,8735988.0
Angola,Africa,1997,9875024.0
Angola,Africa,2002,10866106.0
Angola,Africa,2007,12420476.0
Benin,Africa,1952,1738315.0
Benin,Africa,1957,1925173.0
Benin,Africa,1962,2151895.0
Benin,Africa,1967,2427334.0
Benin,Africa,1972,2761407.0
Benin,Africa,1977,3168267.0
Benin,Africa,1982,3641603.0
Benin,Africa,1987,4243788.0
Benin,Africa,1992,4981671.0
Benin,Africa,1997,6066080.0
Benin,Africa,2002,7026113.0
Benin,Africa,2007,8078314.0
Botswana,Africa,1952,442308.0
Botswana,Africa,1957,474639.0
Botswana,Africa,1962,512764.0
Botswana,Africa,1967,553541.0
Botswana,Africa,1972,619351.0
Botswana,Africa,1977,781472.0
Botswana,Africa,1982,970347.0
Botswana,Africa,1987,1151184.0
Botswana,Africa,1992,1342614.0
Botswana,Africa,1997,1536536.0
Botswana,Africa,2002,1630347.0
Botswana,Africa,2007,1639131.0
Burkina Faso,Africa,1952,4469979.0
Burkina Faso,Africa,1957,4713416.0
Burkina Faso,Africa,1962,4919632.0
Burkina Faso,Africa,1967,5127935.0
Burkina Faso,Africa,1972,5433886.0
Burkina Faso,Africa,1977,5889574.0
Burkina Faso,Africa,1982,6634596.0
Burkina Faso,Africa,1987,7586551.0
Burkina Faso,Africa,1992,8878303.0
Burkina Faso,Africa,1997,10352843.0
Burkina Faso,Africa,2002,12251209.0
Burkina Faso,Africa,2007,14326203.0
Burundi,Africa,1952,2445618.0
Burundi,Africa,1957,2667518.0
Burundi,Africa,1962,2961915.0
Burundi,Africa,1967,3330989.0
Burundi,Africa,1972,3529983.0
Burundi,Africa,1977,3834415.0
Burundi,Africa,1982,4580410.0
Burundi,Africa,1987,5126023.0
Burundi,Africa,1992,5809236.0
Burundi,Africa,1997,6121610.0
Burundi,Africa,2002,7021078.0
Burundi,Africa,2007,8390505.0
Cameroon,Africa,1952,5009067.0
Cameroon,Africa,1957,5359923.0
Cameroon,Africa,1962,5793633.0
Cameroon,Africa,1967,6335506.0
Cameroon,Africa,1972,7021028.0
Cameroon,Africa,1977,7959865.0
Cameroon,Africa,1982,9250831.0
Cameroon,Africa,1987,10780667.0
Cameroon,Africa,1992,12467171.0
Cameroon,Africa,1997,14195809.0
Cameroon,Africa,2002,15929988.0
Cameroon,Africa,2007,17696293.0
Central African Republic,Africa,1952,1291695.0
Central African Republic,Africa,1957,1392284.0
Central African Republic,Africa,1962,1523478.0
Central African Republic,Africa,1967,1733638.0
Central African Republic,Africa,1972,1927260.0
Central African Republic,Africa,1977,2167533.0
Central African Republic,Africa,1982,2476971.0
Central African Republic,Africa,1987,2840009.0
Central African Republic,Africa,1992,3265124.0
Central African Republic,Africa,1997,3696513.0
Central African Republic,Africa,2002,4048013.0
Central African Republic,Africa,2007,4369038.0
Chad,Africa,1952,2682462.0
Chad,Africa,1957,2894855.0
Chad,Africa,1962,3150417.0
Chad,Africa,1967,3495967.0
Chad,Africa,1972,3899068.0
Chad,Africa,1977,4388260.0
Chad,Africa,1982,4875118.0
Chad,Africa,1987,5498955.0
Chad,Africa,1992,6429417.0
Chad,Africa,1997,7562011.0
Chad,Africa,2002,8835739.0
Chad,Africa,2007,10238807.0
Comoros,Africa,1952,153936.0
Comoros,Africa,1957,170928.0
Comoros,Africa,1962,191689.0
Comoros,Africa,1967,217378.0
Comoros,Africa,1972,250027.0
Comoros,Africa,1977,304739.0
Comoros,Africa,1982,348643.0
Comoros,Africa,1987,395114.0
Comoros,Africa,1992,454429.0
Comoros,Africa,1997,527982.0
Comoros,Africa,2002,614382.0
Comoros,Africa,2007,710960.0
Congo Dem. Rep.,Africa,1952,14100005.0
Congo Dem. Rep.,Africa,1957,15577932.0
Congo Dem. Rep.,Africa,1962,17486434.0
Congo Dem. Rep.,Africa,1967,19941073.0
Congo Dem. Rep.,Africa,1972,23007669.0
Congo Dem. Rep.,Africa,1977,26480870.0
Congo Dem. Rep.,Africa,1982,30646495.0
Congo Dem. Rep.,Africa,1987,35481645.0
Congo Dem. Rep.,Africa,1992,41672143.0
Congo Dem. Rep.,Africa,1997,47798986.0
Congo Dem. Rep.,Africa,2002,55379852.0
Congo Dem. Rep.,Africa,2007,64606759.0
Congo Rep.,Africa,1952,854885.0
Congo Rep.,Africa,1957,940458.0
Congo Rep.,Africa,1962,1047924.0
Congo Rep.,Africa,1967,1179760.0
Congo Rep.,Africa,1972,1340458.0
Congo Rep.,Africa,1977,1536769.0
Congo Rep.,Africa,1982,1774735.0
Congo Rep.,Africa,1987,2064095.0
Congo Rep.,Africa,1992,2409073.0
Congo Rep.,Africa,1997,2800947.0
Congo Rep.,Africa,2002,3328795.0
Congo Rep.,Africa,2007,3800610.0
Cote d'Ivoire,Africa,1952,2977019.0
Cote d'Ivoire,Africa,1957,3300000.0
Cote d'Ivoire,Africa,1962,3832408.0
Cote d'Ivoire,Africa,1967,4744870.0
Cote d'Ivoire,Africa,1972,6071696.0
Cote d'Ivoire,Africa,1977,7459574.0
Cote d'Ivoire,Africa,1982,9025951.0
Cote d'Ivoire,Africa,1987,10761098.0
Cote d'Ivoire,Africa,1992,12772596.0
Cote d'Ivoire,Africa,1997,14625967.0
Cote d'Ivoire,Africa,2002,16252726.0
Cote d'Ivoire,Africa,2007,18013409.0
Djibouti,Africa,1952,63149.0
Djibouti,Africa,1957,71851.0
Djibouti,Africa,1962,89898.0
Djibouti,Africa,1967,127617.0
Djibouti,Africa,1972,178848.0
Djibouti,Africa,1977,228694.0
Djibouti,Africa,1982,305991.0
Djibouti,Africa,1987,311025.0
Djibouti,Africa,1992,384156.0
Djibouti,Africa,1997,417908.0
Djibouti,Africa,2002,447416.0
Djibouti,Africa,2007,496374.0
Egypt,Africa,1952,22223309.0
Egypt,Africa,1957,25009741.0
Egypt,Africa,1962,28173309.0
Egypt,Africa,1967,31681188.0
Egypt,Africa,1972,34807417.0
Egypt,Africa,1977,38783863.0
Egypt,Africa,1982,45681811.0
Egypt,Africa,1987,52799062.0
Egypt,Africa,1992,59402198.0
Egypt,Africa,1997,66134291.0
Egypt,Africa,2002,73312559.0
Egypt,Africa,2007,80264543.0
Equatorial Guinea,Africa,1952,216964.0
Equatorial Guinea,Africa,1957,232922.0
Equatorial Guinea,Africa,1962,249220.0
Equatorial Guinea,Africa,1967,259864.0
Equatorial Guinea,Africa,1972,277603.0
Equatorial Guinea,Africa,1977,192675.0
Equatorial Guinea,Africa,1982,285483.0
Equatorial Guinea,Africa,1987,341244.0
Equatorial Guinea,Africa,1992,387838.0
Equatorial Guinea,Africa,1997,439971.0
Equatorial Guinea,Africa,2002,495627.0
Equatorial Guinea,Africa,2007,551201.0
Eritrea,Africa,1952,1438760.0
Eritrea,Africa,1957,1542611.0
Eritrea,Africa,1962,1666618.0
Eritrea,Africa,1967,1820319.0
Eritrea,Africa,1972,2260187.0
Eritrea,Africa,1977,2512642.0
Eritrea,Africa,1982,2637297.0
Eritrea,Africa,1987,2915959.0
Eritrea,Africa,1992,3668440.0
Eritrea,Africa,1997,4058319.0
Eritrea,Africa,2002,4414865.0
Eritrea,Africa,2007,4906585.0
Ethiopia,Africa,1952,20860941.0
Ethiopia,Africa,1957,22815614.0
Ethiopia,Africa,1962,25145372.0
Ethiopia,Africa,1967,27860297.0
Ethiopia,Africa,1972,30770372.0
Ethiopia,Africa,1977,34617799.0
Ethiopia,Africa,1982,38111756.0
Ethiopia,Africa,1987,42999530.0
Ethiopia,Africa,1992,52088559.0
Ethiopia,Africa,1997,59861301.0
Ethiopia,Africa,2002,67946797.0
Ethiopia,Africa,2007,76511887.0
Gabon,Africa,1952,420702.0
Gabon,Africa,1957,434904.0
Gabon,Africa,1962,455661.0
Gabon,Africa,1967,489004.0
Gabon,Africa,1972,537977.0
Gabon,Africa,1977,706367.0
Gabon,Africa,1982,753874.0
Gabon,Africa,1987,880397.0
Gabon,Africa,1992,985739.0
Gabon,Africa,1997,1126189.0
Gabon,Africa,2002,1299304.0
Gabon,Africa,2007,1454867.0
Gambia,Africa,1952,284320.0
Gambia,Africa,1957,323150.0
Gambia,Africa,1962,374020.0
Gambia,Africa,1967,439593.0
Gambia,Africa,1972,517101.0
Gambia,Africa,1977,608274.0
Gambia,Africa,1982,715523.0
Gambia,Africa,1987,848406.0
Gambia,Africa,1992,1025384.0
Gambia,Africa,1997,1235767.0
Gambia,Africa,2002,1457766.0
Gambia,Africa,2007,1688359.0
Ghana,Africa,1952,5581001.0
Ghana,Africa,1957,6391288.0
Ghana,Africa,1962,7355248.0
Ghana,Africa,1967,8490213.0
Ghana,Africa,1972,9354120.0
Ghana,Africa,1977,10538093.0
Ghana,Africa,1982,11400338.0
Ghana,Africa,1987,14168101.0
Ghana,Africa,1992,16278738.0
Ghana,Africa,1997,18418288.0
Ghana,Africa,2002,20550751.0
Ghana,Africa,2007,22873338.0
Guinea,Africa,1952,2664249.0
Guinea,Africa,1957,2876726.0
Guinea,Africa,1962,3140003.0
Guinea,Africa,1967,3451418.0
Guinea,Africa,1972,3811387.0
Guinea,Africa,1977,4227026.0
Guinea,Africa,1982,4710497.0
Guinea,Africa,1987,5650262.0
Guinea,Africa,1992,6990574.0
Guinea,Africa,1997,8048834.0
Guinea,Africa,2002,8807818.0
Guinea,Africa,2007,9947814.0
Guinea-Bissau,Africa,1952,580653.0
Guinea-Bissau,Africa,1957,601095.0
Guinea-Bissau,Africa,1962,627820.0
Guinea-Bissau,Africa,1967,601287.0
Guinea-Bissau,Africa,1972,625361.0
Guinea-Bissau,Africa,1977,745228.0
Guinea-Bissau,Africa,1982,825987.0
Guinea-Bissau,Africa,1987,927524.0
Guinea-Bissau,Africa,1992,1050938.0
Guinea-Bissau,Africa,1997,1193708.0
Guinea-Bissau,Africa,2002,1332459.0
Guinea-Bissau,Africa,2007,1472041.0
Kenya,Africa,1952,6464046.0
Kenya,Africa,1957,7454779.0
Kenya,Africa,1962,8678557.0
Kenya,Africa,1967,10191512.0
Kenya,Africa,1972,12044785.0
Kenya,Africa,1977,14500404.0
Kenya,Africa,1982,17661452.0
Kenya,Africa,1987,21198082.0
Kenya,Africa,1992,25020539.0
Kenya,Africa,1997,28263827.0
Kenya,Africa,2002,31386842.0
Kenya,Africa,2007,35610177.0
Lesotho,Africa,1952,748747.0
Lesotho,Africa,1957,813338.0
Lesotho,Africa,1962,893143.0
Lesotho,Africa,1967,996380.0
Lesotho,Africa,1972,1116779.0
Lesotho,Africa,1977,1251524.0
Lesotho,Africa,1982,1411807.0
Lesotho,Africa,1987,1599200.0
Lesotho,Africa,1992,1803195.0
Lesotho,Africa,1997,1982823.0
Lesotho,Africa,2002,2046772.0
Lesotho,Africa,2007,2012649.0
Liberia,Africa,1952,863308.0
Liberia,Africa,1957,975950.0
Liberia,Africa,1962,1112796.0
Liberia,Africa,1967,1279406.0
Liberia,Africa,1972,1482628.0
Liberia,Africa,1977,1703617.0
Liberia,Africa,1982,1956875.0
Liberia,Africa,1987,2269414.0
Liberia,Africa,1992,1912974.0
Liberia,Africa,1997,2200725.0
Liberia,Africa,2002,2814651.0
Liberia,Africa,2007,3193942.0
Libya,Africa,1952,1019729.0
Libya,Africa,1957,1201578.0
Libya,Africa,1962,1441863.0
Libya,Africa,1967,1759224.0
Libya,Africa,1972,2183877.0
Libya,Africa,1977,2721783.0
Libya,Africa,1982,3344074.0
Libya,Africa,1987,3799845.0
Libya,Africa,1992,4364501.0
Libya,Africa,1997,4759670.0
Libya,Africa,2002,5368585.0
Libya,Africa,2007,6036914.0
Madagascar,Africa,1952,4762912.0
Madagascar,Africa,1957,5181679.0
Madagascar,Africa,1962,5703324.0
Madagascar,Africa,1967,6334556.0
Madagascar,Africa,1972,7082430.0
Madagascar,Africa,1977,8007166.0
Madagascar,Africa,1982,9171477.0
Madagascar,Africa,1987,10568642.0
Madagascar,Africa,1992,12210395.0
Madagascar,Africa,1997,14165114.0
Madagascar,Africa,2002,16473477.0
Madagascar,Africa,2007,19167654.0
Malawi,Africa,1952,2917802.0
Malawi,Africa,1957,3221238.0
Malawi,Africa,1962,3628608.0
Malawi,Africa,1967,4147252.0
Malawi,Africa,1972,4730997.0
Malawi,Africa,1977,5637246.0
Malawi,Africa,1982,6502825.0
Malawi,Africa,1987,7824747.0
Malawi,Africa,1992,10014249.0
Malawi,Africa,1997,10419991.0
Malawi,Africa,2002,11824495.0
Malawi,Africa,2007,13327079.0
Mali,Africa,1952,3838168.0
Mali,Africa,1957,4241884.0
Mali,Africa,1962,4690372.0
Mali,Africa,1967,5212416.0
Mali,Africa,1972,5828158.0
