,2020-03-09,2020-03-16,2020-03-23,2020-03-30,2020-04-06,2020-04-13,2020-04-20,2020-04-27,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01
Alabama,-1.2344526406844276,-1.2307874584509078,-1.214555937131034,-1.1428230848464298,-1.1002807910645023,-1.0038079587036388,-1.062843572536406,-1.038496290556595,-1.0378417937291808,-0.9719994128913052,-0.9523645080688771,-0.9020991517234611,-0.7731632767228498,-0.8971249758351126,-0.5269415702496012,-0.7187091406819824,-0.39918378953833555,-0.25022031161884756,0.17389363254559975,0.46095594104949883,0.36448310868863537,0.2721990560232232,0.07558820906797632,-0.4227456753252493,-0.2110814013394742,0.0037244574178894106,-0.35140552113709383,-0.42667265628973494,-0.3883191422032587,-0.28163615933473257,-0.30336545400488635,-0.35781959004575364,-0.24118825540053065,0.2998188221401054,0.03985268229115715,0.1016371827990643,0.4877903109734839,0.6876736420658022,0.6927787173196335,1.7301561887712524,2.1367296179609974,2.2763992409312026,1.7992710537461993,2.208986067707533,2.6880777453747786,1.4749024260796868,1.196610375063139,1.183127740418405,0.43896484764837934,-0.12076083915630485,-0.46057559194979414,-0.39551860730481564,-0.3748365075585247
Alaska,-0.8741688228166814,-0.8733879860827254,-0.8546479044677794,-0.8077977004304144,-0.8148252310360192,-0.8046743534945902,-0.8366886595867895,-0.8569904146696476,-0.8530862309998672,-0.8640179452752523,-0.8569904146696476,-0.8624562718073402,-0.8265377820453604,-0.7874959453475564,-0.7586049861911813,-0.7750025576042591,-0.718001476025465,-0.6305477618223839,-0.5602724557663366,-0.47359957829721144,-0.21358094588983617,-0.1948408642748902,-0.4759420884990797,-0.4189410069202857,-0.47359957829721144,-0.47203790482929925,-0.4493936395445729,-0.4743804150311675,-0.4064476191769884,-0.32055557844181937,-0.1604840479808226,0.12920638031688378,0.17449491088633654,0.7148339307839452,1.1825551344236382,1.5659459707960743,2.2429314191359975,2.2265338477229197,2.47562076585491,3.0104939286148262,2.332727643540947,1.2551729506815539,0.6125443186356985,0.9358107264935164,0.7812050531702122,0.46965119632173546,0.20104335984084332,-0.08240037458521442,-0.16282655818269084,0.02379342123281272,-0.09723627253037997,-0.17922412959576856,-0.06287945623631237
Arizona,-0.9280082387546772,-0.9277106180733338,-0.9198534320858671,-0.8825317986454009,-0.8478292272007567,-0.8524125856934456,-0.8453887376137406,-0.8328886689973165,-0.8028289801816298,-0.7806264773534098,-0.7599716020681757,-0.7834241117580382,-0.7163404101832287,-0.5083630780604387,-0.4093149153093446,0.07687822973328526,0.34140349131132725,0.511285376222158,0.5220592448867902,0.3311653398731132,0.16646205481765816,0.051163802865212764,-0.4248507148754717,-0.534494173882392,-0.6563996049606615,-0.7163999343194973,-0.6837807076442572,-0.7647930571059393,-0.6002683444592903,-0.736757188923388,-0.7188404239065135,-0.6412209502121465,-0.5963992756018257,-0.5106845193749174,-0.37401710250201364,-0.22633772041940287,0.034437520573711904,0.5140234864905175,0.6390836967910275,1.3504566493380978,1.7007561912793168,1.7596255620490475,1.4968265004227974,2.765107271899697,2.771952547570596,2.365640793400543,1.9701624320313913,1.2045629913435476,0.39521331049821967,0.0618781473935763,-0.2914571254973457,-0.40348154995501334,-0.3524693651727492
Arkansas,-1.15704545650718,-1.1564790770959879,-1.1264609683027988,-1.107770447733455,-1.0794514771738428,-1.0734100967877922,-1.0624600948380756,-0.9267178292890017,-1.074731648747241,-1.0484894026953337,-1.0160169831203119,-0.9374790381016542,-0.9057617910748887,-0.7467979696669328,-0.5765065600351321,-0.5793384570910933,-0.35335307202538885,-0.4026280807991139,-0.297470303454421,-0.23932201723868415,-0.13850648204646512,-0.17777545455579388,-0.10490130364905877,-0.5374263806628674,-0.4190530837236889,-0.34863324359878684,-0.30351168384047156,-0.2429090868429017,-0.11792803010648033,-0.11509613305051912,-0.0675202625103708,-0.058269398794230855,0.01970216681323444,0.17375736665752423,0.1535565009916676,0.5060332878903061,0.9525290570468568,1.13358167549131,0.9336497433404487,1.613871416182331,1.6329395230258033,1.8538274933907777,1.3401213674394143,2.354129306610591,2.9210750972140254,1.8783706012091081,1.2806515292642289,0.957815264884651,1.0080342393436965,0.030840961900015198,-0.6877057177658756,0.1458159823720403,-0.7033755481421943
California,-0.8297691385126023,-0.8273835896614499,-0.8151500058093865,-0.7792566707874323,-0.7185169269619373,-0.7357295794417905,-0.722517308881562,-0.6811922626292917,-0.690893494623978,-0.6728734256098885,-0.6769105082810695,-0.6594042497887667,-0.609344424666123,-0.5996676598391408,-0.5585872852639118,-0.48731442574179007,-0.3330734005349741,-0.21182635097717323,-0.1167102365273799,-0.06492547608159531,-0.04796972886263537,-0.09794391889831457,-0.24649632761392107,-0.07532402235584924,-0.28532572276037044,-0.39618645962776944,-0.4278714418046138,-0.5524093254186198,-0.5270980404287005,-0.5349764684294293,-0.5496934698034617,-0.5519444492322413,-0.5737813964081746,-0.45121311979435086,-0.4663093622677971,-0.3348595037773754,-0.12077178636626497,0.2116513876458552,0.4198792183918272,1.0940108565597837,1.9067489997716192,2.8647120168913,2.4665088625066347,2.5129964811444756,2.7383146285317803,2.4774212193026752,1.2862004588757006,0.8426351755675839,0.31572248547535897,-0.0006257593551498099,-0.26797850085814445,-0.4017772074481624,-0.4351993585319998
Colorado,-0.891635899571065,-0.8786350735023241,-0.842774461596047,-0.7069158291777041,-0.6062677673622013,-0.6371447292754611,-0.6299942749376536,-0.49045207513316746,-0.546463967445993,-0.560114834818171,-0.650362235778681,-0.6502538955614415,-0.6537207825131058,-0.7166664487292599,-0.7701865160455768,-0.7398512552185146,-0.7009571172295312,-0.7020405194019264,-0.5839496826108628,-0.5426720598426102,-0.4381237502064852,-0.52512094464981,-0.5747407641455046,-0.6199186347343794,-0.6793974139988692,-0.6671549694508048,-0.6706218564024691,-0.6712718977059061,-0.5085448914121653,-0.43509022412377896,-0.45946677300266825,-0.30909055147423137,-0.15134719517350792,0.1678230848140822,0.7132077383977647,1.3906591167964073,2.6212956444199773,2.9192312418286237,2.37633841324145,2.5536913488625244,2.0989874571083096,1.3498148548971127,0.8548084023298015,0.8660757849227103,1.2632510213227461,0.6061676037651309,0.33217519436641557,0.18006552936214656,0.09826866534631816,0.02903926653027264,-0.15817262885959693,-0.059474690954405274,0.007696243734089593
Connecticut,-0.978747485631637,-0.9743842332511533,-0.9236614243280291,-0.6758650495530534,-0.30935184959241424,0.17751439519656964,0.0987940501653411,0.3496810620431595,-0.24826631626564108,-0.20299757281812167,-0.2760820501912253,-0.4244326311276745,-0.6636843033242028,-0.6575030291185174,-0.7751290412090598,-0.8574854298906915,-0.8791198896105903,-0.9034813820682915,-0.8751202415951469,-0.8685753630244212,-0.8182161584663373,-0.7907640289057934,-0.8860283725463564,-0.8738476263175058,-0.8656665281040986,-0.8013085554919626,-0.8205795868390994,-0.804035588229765,-0.760403064424927,-0.7860371721602692,-0.6678657535221664,-0.6622298858640415,-0.4711557920353551,-0.3929808535516871,-0.041557234740221105,0.278960013042818,0.9338114744804281,1.3526837030068728,1.0414383665323619,1.7726467446284386,2.4838568826472978,1.933905280523819,0.8321840544516597,2.1804290400211537,1.9071803596933559,2.189700951329682,1.6379313273810014,1.2406935585744554,0.7209211187493227,0.4693068981414237,0.06916029441455529,0.2656884537188464,7.546505689514445e-05
Delaware,-1.0537644623736706,-1.0499717976495513,-1.0221589230060106,-0.9425129637995076,-0.7750036051509098,-0.45199499281342514,-0.4766473135201999,-0.10812672449328488,-0.311666398021015,-0.3780380306931008,-0.1732341355906644,-0.3337902755783769,-0.6182401298873165,-0.7731072727888502,-0.8502247888459404,-0.7307558500361859,-0.7686824972773778,-0.48360053218108506,-0.626457570122908,-0.6018052494161333,-0.5664070453243542,-0.6372034535079124,-0.658063109490568,-0.5000354126522683,-0.7731072727888502,-0.7705788296394374,-0.6112869112264313,-0.5442831677669921,-0.6005410278414269,-0.6150795759505505,-0.43239955840547595,-0.49308219399138303,-0.4450417741525399,-0.5050922989510939,-0.31735539510719374,-0.12013682945299567,0.3368792698033672,0.8457284536226923,1.1225929784833935,1.89250391747959,2.4531861858618775,2.2053987572194234,1.7534395442618862,1.7445899932389413,2.6055248856139985,2.1200638009267414,1.6523018182853744,1.156094850213113,0.5410510541184504,0.4689904243601858,0.03915508896001048,0.25280853508539175,-0.07083218803944615
District of Columbia,-1.4708382501717538,-1.4708382501717538,-1.2788647215875655,-1.0191358299736635,-0.22865659462700516,0.17222930329880012,0.2569235070859421,0.5015956513599077,0.7406215153813973,0.8930710821982528,0.13082324811397517,0.3867879528928931,-0.17031169868475182,-0.4714466454834788,-0.652127613562715,-0.994668615546267,-1.041720950983568,-1.0304283904786158,-0.783874152787158,-0.6916515753300478,-0.4940317664933833,-0.5410841019306845,-0.569315503193065,-0.5919006242029696,-0.7744636856996978,-0.7763457791171898,-0.8685683565743,-0.8817430104967443,-0.7876383396221421,-0.9156206920116011,-0.9645551208663942,-0.5956648110379537,-0.7443501910198251,-0.7236471634274126,-0.33781801284154367,-0.2813552103167824,0.3660849253004806,0.7387394219639052,0.9702369123154266,1.7061354385548155,1.8002401094294178,1.7795370818370053,1.542393311233008,1.4689916679508181,2.344165107084619,2.4062741898618563,1.2581972051917092,1.4859305087082466,0.7180363943714928,0.19105023747372055,-0.09691005540256212,0.3171504964456875,0.07436044558921384
Florida,-1.2638270073959144,-1.2610711714660525,-1.2330305408797089,-1.1524912358294985,-0.9850053071921492,-1.0042617107520584,-1.0430501014648628,-1.0844220883619127,-1.1075711101727517,-1.1085356527482033,-1.0922073248637723,-1.082320763465393,-1.0817351483302975,-0.9963386824537057,-0.8635418385834914,-0.5158586880823052,0.24409751752620262,0.7694976375543501,1.1368505670049247,1.4997941589677206,1.278362742003327,0.9155913897861475,0.30920414136918706,0.13475972700893668,-0.32873742844469067,-0.5402478360615819,-0.4083121909194494,-0.6591621564351176,-0.5834800122112885,-0.6851014621249415,-0.7166213355727356,-0.6430060682963029,-0.5569895393354922,-0.4506487203919509,-0.27289730291586645,-0.0073380631245611,0.1586666037004876,0.5689072298095361,0.6044919612538763,0.9892066570625802,1.073362996770734,1.3412991450515452,1.1614119547298178,1.9552304943265022,2.579323988592825,1.9832022290145992,1.4286246960790403,1.2136005976515751,0.6857891211847987,0.43721272031126657,0.16193915886719845,0.12921360720008987,-0.03183055495120763
